index,tweets,text_characters,keywords,sentiment,categories
321,Minor,aff,aff,aff,aff
322,"Understanding exactly how the body flaps control pitch, yaw &amp; roll duri",75,body flaps control pitch,positive,/style and fashion/body art
323,"But, a RUD right off launch pad is also possible. Fortunately, SN9 is almost ready.",83,launch pad,positive,/automotive and vehicles/vehicle brands/kia
324,"Stable, controlled descent with body flaps would be great. Transferring propellant",82,body flaps,positive,/style and fashion/body art
325,Every to days,13,days,neutral,/science/mathematics/algebra
326,"Faults will never be zero, but at some point the probability of a fault wi",74,probability of a fault wi,negative,/science/geology/seismology/earthquakes
327,We measure this primarily in intervention probability. This update addressed several issu,89,intervention probability,neutral,/education/homework and study tips
328,Thanks to a great Autopilot/AI team working super hard! Doing neural nets without testing them again,100,great Autopilot,positive,/sports/fishing
329,Latency will improve significantly soon. Bandwidth too.,55,Latency,neutral,/technology and computing/hardware/computer networking/router
330,This build should be noticeably better with interventions,57,interventions,neutral,/health and fitness
331,Yes,aff,aff,aff,aff
332,"Ive spent more than half my life in California &amp; love the state. But, frankly, I think",90,Ive,positive,/art and entertainment/visual art and design/design/industrial and product design
333,And Sweden is still right with zero deaths Oct,46,Sweden,neutral,/science/weather/meteorological disaster/hurricane
334,"True. Also, fewer heart attacks, as way easier to pump blood in % gravity.",74,heart attacks,neutral,/health and fitness/disease/heart disease
335,"Now were talking. Also, Stephenson -18 is in the constellation Scrotum haha.",76,constellation Scrotum haha,neutral,/health and fitness/disease/infertility
336,Small fry. The sun converts over million tons of mass to energy every second.,77,sun converts,neutral,/science/physics/thermodynamics
337,Accurate,aff,aff,aff,aff
338,,aff,aff,aff,aff
339,Some challenges with high winds. Looks like Sunday for static fire.,67,high winds,negative,/science/weather/meteorological disaster/hurricane
340,Great shot!,11,Great shot,positive,/sports/hunting and shooting
341,Future AI will appreciate this,30,Future,positive,/science/computer science/artificial intelligence
342,Truth is stranger than fiction,30,Truth,negative,/art and entertainment/music/music genres/punk
343,,aff,aff,aff,aff
344,Urf is so sml,aff,aff,aff,aff
345,For a long time,15,long time,neutral,/society/social institution/divorce
346,"Truth be told, Ive eaten at JitB many times over the years, even the teriyaki bowl",82,Truth,positive,/food and drink/food
347,Might buy a Jack in the Box footstool,37,Box footstool,positive,/automotive and vehicles/buying and selling cars
348,"Approximately, log(rate)",24,log,neutral,/society/work/unemployment
349,"Same bot, just change setting to combat",39,bot,neutral,"/law, govt and politics/armed forces/air force"
350,"Well, being a phased array antenna, it is actually rather flat!",63,phased array antenna,negative,/technology and computing/electronic components
351,Tesla should make catgirl robots?,33,Tesla,neutral,/business and industrial/automation/robotics
352,Little crane: Am I just a toy to you!?,38,Little crane,negative,/shopping/toys
353,,aff,aff,aff,aff
354,"Come here no, come, here",aff,aff,aff,aff
355,"Wow, this mayo sure is salty!",29,mayo,positive,/food and drink/food
356,Max Payne was great on many levels. Silent Hill good too.,57,Silent Hill,positive,/art and entertainment/shows and events
357,Jack in the Box should do double duty as a sperm donor clinic name is,69,Jack,neutral,/food and drink/food/fast food
358,One of the best games ever,26,best games,positive,/hobbies and interests/games
359,FEAR with modern graphics &amp; sound would rock,48,modern graphics,negative,/technology and computing/software/graphics software
360,Ok,aff,aff,aff,aff
361,All games in this thread are far scarier &amp; more creatively so than any horror movie,87,horror movie,negative,/art and entertainment/movies and tv/horror
362,FEAR is best imo. Also Dead Space . They will haunt your dreams.,64,Dead Space,neutral,/family and parenting/children
363,,aff,aff,aff,aff
364,"To the best of my knowledge, literally zero equipment was usable without major repairs or upgra",95,major repairs,positive,/travel/transports
365,All that was left were broken bots &amp; equipment hardly worth the scrap metal value. But we scrounged up spa,110,broken bots,negative,/technology and computing/internet technology/social network
366,And there were actually zero employees in the factory after GM/Toyota left. They took all good equipment &amp;,110,zero employees,neutral,/automotive and vehicles/vehicle brands/toyota
367,Bettern nothin or ur back!,26,Bettern nothin,positive,/art and entertainment/music/music genres/soul music
368,,aff,aff,aff,aff
369,Tesla team has done great work!,31,great work,positive,/automotive and vehicles/cars/hybrid
370,"Well, tbh, our capex efficiency in was trash",44,capex efficiency,negative,/business and industrial/energy
371,Testing for covid is a license to print money,45,Testing,neutral,/business and industrial/business software
372,"Yes, very helpful. Thanks all beta testers!",43,beta testers,positive,/technology and computing/operating systems
373,Video training &amp; inference is essential for excellent autonomy,66,Video training,positive,/education/homework and study tips
374,"Sigh there should be a new supersonic jet, this time electric",61,new supersonic jet,negative,/automotive and vehicles/electric vehicles
375,Critical to humanitys future,28,humanitys future,neutral,/science/social science/philosophy
376,Congratulations SpaceX Team!,28,Congratulations SpaceX Team,positive,/automotive and vehicles/vehicle brands
377,Mine is a few days ahead,24,days,neutral,/automotive and vehicles/cars/car culture
378,"Sure, it could be an option in settings",39,option,neutral,/automotive and vehicles/cars/coupe
379,Visualization will tone down significantly for production. These are intentionally strident colors.,99,strident colors,negative,/technology and computing/software/graphics software
380,Sure,aff,aff,aff,aff
381,"Im in Boca every week, so maybe we could talk th",48,Boca,neutral,/art and entertainment/radio/talk radio
382,Good point. Probably next week in form of a written piece on SpaceX website.,76,next week,neutral,/art and entertainment/music/music reference
383,Great pics! That we now have the beginnings of a Starship production system is most meaningful.,95,beginnings of a Starship production system,positive,/technology and computing/enterprise technology
384,"Yup. With beta updates, therell be a lot of steps fwd, step back situations, but pace of improv",95,beta updates,positive,/automotive and vehicles/cars/sedan
385,Working on it. Also needs to be able fart at other cars on command.,67,able fart,neutral,/automotive and vehicles/cars
386,Starship is coming together!,28,Starship,positive,/travel/transports/sea travel
387,Price change is pushed to Thursday next week. Applies only to US for now. One week clock will start in other countr,115,Price change,neutral,/real estate/buying and selling homes
388,There will be a deg glass Star Bar (name tbd) at top of high bay,64,deg glass Star Bar,neutral,/news
389,"Well, we have said many times that the price will rise as the product functionality improves. How much ti",105,much ti,neutral,/technology and computing/software
390,Agreed. Are these performance tires?,36,performance tires,neutral,/automotive and vehicles/cars/performance vehicles
391,"Just a small-seeming issue with loss of upper stage camera. Probably nothing serious, but standing down to",106,loss of upper stage camera,negative,/art and entertainment/comics and animation/comics
392,Sure,aff,aff,aff,aff
393,"Now that Tesla FSD beta is out in limited release, FSD price (new or upgrade) will go up by ~$2k on Monday",106,Tesla FSD beta,neutral,/automotive and vehicles/cars/hybrid
394,As soon as we complete testing &amp; regulators approve. So many differe,72,complete testing,neutral,/finance/financial news
395,Yes,aff,aff,aff,aff
396,Haha,aff,aff,aff,aff
397,Dependent on proving high safety,32,high safety,neutral,/automotive and vehicles
398,Not intentional! We just wanted to show that you could theoretically convert the entire US vehicle f,100,entire US vehicle f,positive,/automotive and vehicles/vehicle brands
399,"Cold gas for now, hot later",27,Cold gas,neutral,/business and industrial/energy/natural gas
400,"I mean, ya gotta have a tiki bar",32,ya gotta,positive,/food and drink
401,"Starship nosecone, high bay &amp; tiki bar",42,Starship nosecone,neutral,/travel/transports/sea travel
402,,aff,aff,aff,aff
403,After it gets to orbit a few times,34,times,neutral,/society/dating
404,Got a little melty tbh,22,little melty tbh,negative,/sports/bowling
405,"Those engines could go bar, but would be dicey. Pushing it for near-term tests doesnt achieve",93,term tests doesnt,negative,"/law, govt and politics/government/courts and judiciary"
406,Raptor has now run for secs at bar chamber pressure before encountering issues. mT-F sea,88,bar chamber pressure,neutral,/sports/diving
407,"FSD beta rollout happening tonight. Will be extremely slow &amp; cautious, as it should.",88,beta rollout,negative,/art and entertainment/movies and tv/television
408,Data from engine Starship static fire this morning looks good. Proceeding with nosecone mate.,93,engine Starship,positive,/automotive and vehicles/cars/sedan
409,Yes. We also have to consider population life-months lost from lockdowns &amp; other restriction,96,population life-months,neutral,"/law, govt and politics"
410,Sweden at zero deaths Oct,25,zero deaths Oct,neutral,/science/weather/meteorological disaster/hurricane
411,Yes,aff,aff,aff,aff
412,"Firmware is probably a slightly more accurate description, but yes",66,accurate description,positive,/technology and computing/hardware
413,: There's no place like home..especially if it has a Solar Roof.This Kansas ranch got theirs installed in days.,111,Solar Roof.This Kansas ranch,negative,/style and fashion/accessories
414,"Mobi-C has too much mobility, fusion has too little. We need Mobi-D haha.",73,Mobi-C,negative,/technology and computing/programming languages/c and c++
415,"Actually, its my neck",21,neck,neutral,/pets/reptiles
416,"Maybe I can be helpful. Had Mobi-C disc put in at C5-C6, however st surgery failed to remov",91,Mobi-C disc,neutral,/science/medicine/surgery
417,Pretty accurate. Its not so much DNA sequencing as it is using synthetic DNA/RNA to fix bugs in our code,104,much DNA,negative,/science/biology/molecular biology
418,London to Beijing would be cool,31,London,positive,/sports/olympics
419,"Wow, that would be quite a trip!",32,trip,positive,/travel/transports/sea travel
420,Thats my kid haha,17,kid haha,positive,/sports/running and jogging
421,mtr trnd,aff,aff,aff,aff
422,Looks like snoopy,aff,aff,aff,aff
423,Current production is slightly better,37,Current production,neutral,/automotive and vehicles/cars/performance vehicles
424,Doesnt seem to be any life in this solar system. Maybe under the ice of Europa or,81,ice of Europa,neutral,/science/geology/volcanology/volcanic eruptions
425,": Tesla Model SR+ Has Lowest Energy Consumption of All BEVs, Says Report",72,Tesla Model SR,positive,/automotive and vehicles/cars/hybrid
426,Very creative,aff,aff,aff,aff
427,That free fusion reactor in the sky conveniently converts ~4 million tons of mass into energy every second,106,free fusion reactor,positive,/science/physics/astrophysics
428,You never know,aff,aff,aff,aff
429,After,aff,aff,aff,aff
430,,aff,aff,aff,aff
431,"Also, system should autodelete old data automatically by default",64,old data,neutral,/technology and computing/operating systems
432,Table in tension,16,Table,negative,/sports/billiards
433,Yes,aff,aff,aff,aff
434,"Starting production on seater next month, initial deliveries early December",75,early December,neutral,/automotive and vehicles/motor shows
435,"The gauntlet has been thrown down! The prophecy will be fulfilled. Model S price changes to $69,420 tonight!",108,Model S price changes,neutral,/automotive and vehicles/cars/sedan
436,,aff,aff,aff,aff
437,Congratulations!,16,Congratulations,positive,"/law, govt and politics/politics/elections/presidential elections"
438,Making progress,15,progress,positive,/education/teaching and classroom resources
439,meter or roughly ft diameter,28,ft diameter,neutral,/science/weather
440,Will be less roomy with vacuum rocket engines added,51,vacuum rocket engines,neutral,/automotive and vehicles/cars/sedan
441,"Its still there, but focus is Vegas &amp; Prufrock, our new tunneling machine",77,Vegas,positive,/technology and computing/hardware/computer
442,For sure,aff,aff,aff,aff
443,Maybe a month or so. Some finishing touches need to be done on the stations.,76,finishing touches,neutral,/news
444,"We simplified this a lot. Its basically just Teslas in tunnels at this point,",77,tunnels,neutral,/business and industrial/construction
445,Sweet,aff,aff,aff,aff
446,Yes. Everything is slow to a phased array antenna.,50,phased array antenna,neutral,/art and entertainment/radio
447,Nice,aff,aff,aff,aff
448,What is love? Baby dont hurt me. Winston Churchill,50,Winston Churchill,neutral,/family and parenting/babies and toddlers
449,Or maybe weak turrets to allow more strategic degrees of freedom,64,weak turrets,neutral,/travel/transports
450,Please buff Torbs turret!,25,buff,positive,/automotive and vehicles/vehicle brands
451,Um yes,aff,aff,aff,aff
452,I have Goosebumps merch. Not sure how tbh.,42,Goosebumps,positive,/art and entertainment/books and literature/best-sellers
453,HG2G,aff,aff,aff,aff
454,LotR,aff,aff,aff,aff
455,The Illuminaughty,aff,aff,aff,aff
456,Knee deep,aff,aff,aff,aff
457,": This will be the first flight of the upgraded cargo version of Dragon, which is able to carry % more science payloads than th",127,science payloads,positive,/travel/transports/air travel/airlines
458,: The Dragon spacecraft supporting SpaceXs st cargo resupply mission to the departed our Hawthorne factory last,111,Dragon spacecraft,neutral,/travel/transports
459,Yeah,aff,aff,aff,aff
460,At least success is in the set of all possible outcomes this time!,66,set of all possible outcomes,positive,/society/unrest and war
461,"Diess is doing his best to move in the right direction, but hes in a tough position wi",86,right direction,positive,"/law, govt and politics/legal issues/legislation/family laws"
462,Good grief! SpaceX is getting zero money for this. Starship is designed to carry people &amp; cargo around Ear,110,Good grief,negative,/travel/transports/sea travel
463,"With FSD, we got stuck in a lot of local maximums, which wasnt clear until we hit the ceiling. This time, its right.",116,lot of local maximums,negative,/sports/baseball
464,"Thank you, much more accurate haha",34,accurate haha,positive,/sports/running and jogging
465,This graph appears to be upside down,36,graph,neutral,/hobbies and interests/magic and illusion
466,Sheer magnitude of the entire production system is hard to appreciate. Almost every element of productio,104,Sheer magnitude of the entire production system,positive,/science/weather/meteorological disaster
467,Will release order configurator probably in Jan,47,order configurator,neutral,/society/dating
468,"Limited FSD beta releasing on Tuesday next week, as promised. This will, at first, be limited to a s",100,FSD beta,neutral,"/law, govt and politics"
469,"The SoCs sync with each other to times/sec, exchanging output of NNs that should be in",86,SoCs sync,negative,/technology and computing/hardware/computer components/chips and processors
470,Tesla FSD computers dual SoCs function like twin engines on planes they each run different neural nets,102,Tesla FSD computers,neutral,/technology and computing/hardware/computer
471,Accurate analysis. Quite a few ego/intelligence&gt;&gt;1 people in your comment thread haha. Neither MobilEye,109,comment thread haha,positive,/automotive and vehicles/cars/performance vehicles
472,!,aff,aff,aff,aff
473,Glad Jen is safe!,17,Glad Jen,positive,/society/gay life
474,Wow,aff,aff,aff,aff
475,"Uh ok, here we go",17,Uh,positive,/sports/go kart
476,I dont think this is accurate,aff,aff,aff,aff
477,"Yeah, there are lite",20,lite,neutral,/sports/skateboarding
478,"Even if half that amount, its still a big deal!",47,big deal,positive,/real estate/buying and selling homes
479,,aff,aff,aff,aff
480,I have seen no evidence of an advanc,36,evidence of an advanc,positive,/society/crime/personal offense/homicide
481,We face a tough dichotomy of applying resources to the old architecture or applying them to the ne,98,tough dichotomy,positive,/education/teaching and classroom resources
482,Definitely,aff,aff,aff,aff
483,"Exactly. He plays the poor inventor card, but was rich all along &amp; invented nothing (as far as I kn",103,poor inventor card,negative,/technology and computing/hardware/computer components/sound cards
484,There are sketchy edits to Tesla wiki that whitewash Eberhards problems/glorify his role. Pretty odd,100,sketchy edits,negative,/automotive and vehicles/cars/hybrid
485,When Eberhard was fired from the Tesla CEO role in mid for providing false information to me &amp; t,100,Tesla CEO role,neutral,/automotive and vehicles/cars/hybrid
486,Interesting,aff,aff,aff,aff
487,: The future of cars can and will be electric if the entire industry starts making and marketing compelling EVs for everyone,124,future of cars,positive,/automotive and vehicles/cars/hybrid
488,,aff,aff,aff,aff
489,Probably,aff,aff,aff,aff
490,I have that exact art on the wall of the place I stay in Boca Chica!,68,Boca Chica,positive,/art and entertainment/visual art and design/art and craft supplies
491,"Yes, failure to protect nursing homes was a major mistake (happened in most countries",85,major mistake,negative,/family and parenting/eldercare
492,Sweden was right,16,Sweden,neutral,"/law, govt and politics"
493,,aff,aff,aff,aff
494,Great work by SpaceX valve engineering &amp; production!,56,Great work,positive,/science/engineering
495,Our tiles are mechanically attached,35,tiles,neutral,/art and entertainment/visual art and design/design
496,It m,aff,aff,aff,aff
497,Tiles will be,aff,aff,aff,aff
498,"Compilers need to improve imo. Most type, pointer (or other memory) problems can be detected at comp",100,type,neutral,/technology and computing/programming languages/c and c++
499,Im proud to say that that nose is pointier than it needs to be haha,67,Im,positive,/family and parenting/children
